objectid,parentid,title,interviewee,interviewer,creator,date,archival date,description,subject,location,latitude,longitude,include_map,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,pdf,bio
mckesson,,Interview with Charles McKesson,,Alex Bouk,AppState Student Interview Collection,2024-11-09,,Charles McKesson speaks with AppState students about his experiences as one of the first Black students to desegregate Burke County public schools.,Charles McKesson; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",mckesson,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=a6SMAnCcJ1M,,https://img.youtube.com/vi/a6SMAnCcJ1M/hqdefault.jpg,,
mckesson-photo,mckesson,Photo of Charles McKesson,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",mckesson-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/mckesson-photo.jpg,,,,
tate,,Interview with Diann Thomas Tate,,Cady Barlow,AppState Student Interview Collection,2024-11-09,,Diann Thomas Tate speaks with AppState students about her experiences as one of the first Black students to desegregate Burke County public schools.,Diann Thomas Tate; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",tate,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=XzaC9peChi0,,https://img.youtube.com/vi/XzaC9peChi0/hqdefault.jpg,,
tate-photo,tate,Photo of Diann Thomas Tate,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",tate-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/tate-photo.jpg,,,,
fullwood-doris,,Interview with Doris Fullwood,,Alex Bouk,AppState Student Interview Collection,2024-11-09,,"Doris Anne Luck Fullwood taught biology, math, and physical education during desegregation. She grew up in Asheboro in Randolph County and attended segregated schools. She went to an all-women's college and accepted a position at Olive Hill High School in Morganton as her first teaching job. After desegregation and the closure of Olive Hill High School, Fullwood was one of the few Black teachers retain by the school system. When Freedom High School opened in 1973 or 1974, Fullwood became Chair of the Biology department where she wrote the curriculum, developed workshops, managed the budget, and supervised faculty.",Doris Fullwood; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",fullwood-doris,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=KIW_U4f-wCE,,https://img.youtube.com/vi/KIW_U4f-wCE/hqdefault.jpg,,
fullwood-doris-photo,fullwood-doris,Photo of Doris Fullwood,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",fullwood-doris-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/fullwood-doris-photo.jpg,,,,
harbison,,Interview with Gary Harbison,Gary Harbison,Alex Bouk; Ethan Scheurich,AppState Student Interview Collection,2024-11-09,,"Gary Harbison attended Mountain View Elementary, a segregated elementary school. At age 14, he desegregated Morganton Junior High School. He fondly remembers growing up in his community and Mountain View Recreation Center being an important gathering place to play sports, hold dances, swim, meet people from other cities like Gastonia. Harbison speaks about the difficulties and pain of desegregation and details the 1968 student walkout. Harbison was part of efforts to honor the West Concord Mothers who organized for transportation and achieved the pilot desegregation program for their children. He facilitated a Black History Month event at New Day Christian and asked the surviving Mothers and their children to speak. He also worked with Dr. Leslie McKesson to install a historical marker at Slades Chapel AME Church downtown to honor the Mothers.",Gary Harbison; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",harbison,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=BGhMHaw1Zxs,,https://img.youtube.com/vi/BGhMHaw1Zxs/hqdefault.jpg,,
harbison-photo,harbison,Photo of Gary Harbison,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",harbison-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/harbison-photo.jpg,,,,
phifer,,Interview with Nancy Phifer,,Reagan Petto,AppState Student Interview Collection,2024-11-09,,Nancy Phifer speaks with AppState students about her experiences of school desegregation in Burke County.,Nancy Phifer; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",phifer,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=wBpPBbfspT0,,https://img.youtube.com/vi/wBpPBbfspT0/hqdefault.jpg,,
phifer-photo,phifer,Photo of Nancy Phifer,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",phifer-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/phifer-photo.jpg,,,,
andrews,,Interview with Pam Andrews,,Alex Hopper,AppState Student Interview Collection,2024-11-09,,"Pam Andrews is a white student who attended Morganton High School before and during desegregation. She felt during her time in high school, she and her classmates did not include or treat Black students the same way they treated each other. She did not invite Black classmates to her home. She played on the championship winning women's basketball team and believes sports were a unifying force during desegregation.",Pam Andrews; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",andrews,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=mGzmG8yBjNY,,https://img.youtube.com/vi/mGzmG8yBjNY/hqdefault.jpg,,
andrews-photo,andrews,Photo of Pam Andrews,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",andrews-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/andrews-photo.jpg,,,,
rankin,,Interview with Rita Rankin,,Alexis Robinson; Ella Lowman; Hayden Zeagler,AppState Student Interview Collection,2024-11-09,,Rita Rankin speaks with AppState students about her experiences as one of the first Black students to desegregate Burke County public schools.,Rita Rankin; Glen Alpine Elementary School; McAlpine School; mistreatment from teachers; family; Freedom High School; desegregation; Historically Black Colleges and Universities; Predominantly White Institutions; cheerleading; band; Woolworths; Downtown Morganton; presidential election; Glen Alpine; Drexel Furniture; Broughton; nursing; healthcare; joy; church; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",rankin,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=j8FyYKy8Hck,,https://img.youtube.com/vi/j8FyYKy8Hck/hqdefault.jpg,,
rankin-photo,rankin,Photo of Rita Rankin,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",rankin-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/rankin-photo.jpg,,,,
roseboro,,Interview with Ruth Roseboro,,Alexis Robinson,AppState Student Interview Collection,2024-11-09,,Ruth Roseboro speaks with AppState students about her experiences as one of the first Black students to desegregate Burke County public schools.,Ruth Roseboro; Mountain View Elementary; desegregation; discrimination; Downtown Morganton; segregated water fountains; segregated restrooms; West Concord Mothers; transportation; racial violence; physical violence; harassment; Olive Hill High School; community; church; loss of Black teachers; extracurriculars; band; glee club; sports; resistance; student activism; walk out; NAACP; family; Woolworths; segregation; cheerleading; oral history; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",roseboro,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=eJWSId4lwho,,https://img.youtube.com/vi/eJWSId4lwho/hqdefault.jpg,,
roseboro-photo,roseboro,Photo of Ruth Roseboro,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",roseboro-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/roseboro-photo.jpg,,,,
carpenter,,Interview with Tommy Carpenter,,Alex Hopper,AppState Student Interview Collection,2024-11-09,,"In 1964, Tommy Carpenter transferred to a formerly all-white school, Glen Alpine. He felt numb and confused learning he would attend a desegregated school. Memories from riding segregated buses stand out to him and how ingrained the expectations were that Black people would go straight to the back or would give up their seat for a white person. Carpenter and Elias Bryant desegregated Hush Puppy Fish Camp by eating dinner with their agriculture club after winning a competition. Their teacher told them not to attend, but Bryant refused. He picked up Carpenter from his home and said, ""Let's go die together."" Carpenter speaks about how desegregation closed Black schools and led to a profound loss of community and pride.",Tommy Carpenter; oral history; Glen Alpine; Hush Puppy Fish Camp; family; McAlpine School; Willow Tree School; Olive Hill High Schools; sports; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",carpenter,record,compound_object,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,transcript,https://www.youtube.com/watch?v=1E-fnwNFDfs,,https://img.youtube.com/vi/1E-fnwNFDfs/hqdefault.jpg,,
carpenter-photo,carpenter,Photo of Tommy Carpenter,,,AppState Student Interview Collection,2024-11-09,,,,"Morganton, North Carolina",35.7368,-81.6918,false,"AppState Student Interviews, Dr. Leslie D. McKesson",carpenter-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/carpenter-photo.jpg,,,,
carlton-timeline,,The Journey for Equality Timeline,,,Leslie D. McKesson Collection,2023-10-14,,"""The Journey for Equality"" is a graphical timeline created by Beverly Carlton. This timeline was distributed to attendees at the Slades Chapel AME historical marker dedication on October 14, 2023.",Beverly Carlton; desegregation; Mountain View Elementary; Olive Hill High School; West Concord Mothers; NAACP; transportation; Slades Chapel AME Church; Gaston Chapel AME Church; New Bethel Baptist Church; Morganton City School Board; Morganton City Council; Morganton High School; Morganton Junior High; Forest Hill Elementary; Central School; protests; marches; songs; Suburban Coach; secondary source,"Morganton, North Carolina",35.7368,-81.6918,false,Leslie D. McKesson Collection,carlton-timeline,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/carlton-timeline.pdf,/objects/small/carlton-timeline_sm.png,/objects/thumbs/carlton-timeline_th.jpg,,
forney-statement,,A Change Has Come: Impact Statement,,,Leslie D. McKesson Collection,2025-01-23,,"Rev. Dr. Charlene Forney Hemphill is the daughter of Mrs. Ruth Forney, one of the West Concord Mothers. Hemphill provided this written impact statement as her testimony to the Children of the Struggle digital archive.",Charlene Forney Hemphill; desegregation; school closures; Mountain View Elementary; West Concord Mothers; transportation; Woolworths; Slades Chapel; Rev James Hunt; discrimination; segregation; Olive Hill High School; extracurriculars; sports; basketball; Mrs. Amos; Western Piedmont Community College; Black teachers; discipline; self-respect; Ingles; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Leslie D. McKesson Collection,forney-statement,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/forney-statement.pdf,/objects/small/forney-statement_sm.png,/objects/thumbs/forney-statement_th.jpg,,
carlton-report,,Report on Integration and the Impact of Poverty and Cultural Barriers in Morganton City Schools: Impact Statement,,,Leslie D. McKesson Collection,2024-10-28,,"Beverly Carlton is the daughter of Mrs. Ruth Forney, one of the West Concord Mothers. She contribute this written impact statement to the Children of the Struggle digital archive, in which she discusses how desegregation impacted her and her community in Burke County.",Beverly Carlton; segregation; desegregation; Mountain View Elementary; transportation; West Concord Mothers; school board; NAACP; Central School; Suburban Coach; poverty; discrimination; West Concord School; Slades Chapel; Mountain View Recreation Center; extracurriculars; church; cheerleading; W.F. McIntosh; Green Street Presbyterian; walkout; Woolworths; Ingles; discrimination; exclusion; trauma; PTSD; rejection; self-worth; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Leslie D. McKesson Collection,carlton-report,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/carlton-report.pdf,/objects/small/carlton-report_sm.png,/objects/thumbs/carlton-report_th.jpg,,
beach-article,,"Article titled ""Board Tells Negros: No Transportation to School Allowed"" by John W. Beach",,,John W. Beach; North Carolina Room at Burke County Public Library,1961-09-19,,"News Herald reports on the special meeting of the Morganton Board of Aldermen and Morganton School Board appointees, which resulted in no publicly funded transportation offered to the West Concord families.",West Concord Mothers; News Herald; transportation; Mountain View Elementary; newspaper; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,John W. Beach; North Carolina Room at Burke County Public Library,beach-article,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/beach-article.pdf,/objects/small/beach-article_sm.png,/objects/thumbs/beach-article_th.jpg,,
board-minutes,,West Concord Mothers Present at Morganton Board of Aldermen,,,Morganton Board of Aldermen; North Carolina Room at Burke County Public Library,1961-09-11,,"West Concord Mothers present transportation concerns to the Morganton Board of Aldermen. In response, the Board arranged private meetings with the School Board and a local taxi company to provide discounted transportation to students. If their requests were not met, the Mothers were prepared to escort their children to the segregated white schools closer to their neighborhood, rather than Mountain View Elementary over a mile from their neighborhood across town. This petition led to the ""first wave"" of desegregation in June 1963, where Morganton City Schools reassigned 30 Black students to formerly all-white schools closest to their homes.",West Concord Mothers; transportation; newspaper; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Morganton Board of Aldermen; North Carolina Room at Burke County Public Library,board-minutes,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/board-minutes.pdf,/objects/small/board-minutes_sm.png,/objects/thumbs/board-minutes_th.jpg,,
board-minutes-2,,"Special Meeting of the Morganton Board of Aldermen, Town Council, and West Concord Mothers",,,Morganton Board of Aldermen; North Carolina Room at Burke County Public Library,1961-09-18,,Morganton Board of Aldermen and Morganton City School Board appointees discuss West Concord Mothers' request to provide transportation to segregated Mountain View Elementary School for their children.,West Concord Mothers; transportation; Mountain View Elementary; newspaper; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Morganton Board of Aldermen; North Carolina Room at Burke County Public Library,board-minutes-2,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/board-minutes-2.pdf,/objects/small/board-minutes-2_sm.png,/objects/thumbs/board-minutes-2_th.jpg,,
cable-article,,"Article titled ""City School Board Assigns Negros"" by Dorothy Cable",,,Dorothy Cable; North Carolina Room at Burke County Public Library,1963-06-11,,"Morganton City School Board grants requests for 30 Black children to transfer to historically white schools closer to their homes. Students experience rejection, isolation, discrimination, and trauma. This pilot desegregation program is a result of organizing by Black families, the local branch of the NAACP, Slades Chapel, Gaston Chapel, and New Bethel Baptist Church.",desegregation; News Herald; Olive Hill High School; Morganton High School; West Concord; Mountain View Elementary; Morganton Junior High; Forest Hill Elementary; Central School; newspaper; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Dorothy Cable; North Carolina Room at Burke County Public Library,cable-article,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/cable-article.pdf,/objects/small/cable-article_sm.png,/objects/thumbs/cable-article_th.jpg,,
class-photo,,"Mountain View Elementary School, Third Grade Class Photo",,,Dixon Byrd; History Museum of Burke County,1965,,"Photograph of Ms. Woody's third grade class at Mountain View Elementary School during the first year of desegregation in Burke County. Faced with many years of activism by Black families, especially the West Concord Mothers, local churches, and NAACP, as well as the threat of losing federal funding with the Civil Rights Act of 1964, Burke County's schools consolidated and desegregated in 1965. The three previously separate school systems (Morganton City, Glen Alpine, and Burke County) merged into one, and all students were assigned to the school closest to their home. From its opening in 1958 to 1965, Mountain View Elementary was an all-Black school serving grades one through eight. As a result of desegregation in 1965, only 12 of the 26 Black teachers in the school system were rehired. Later that year, nine Black teachers who were not rehired sued the Morganton City School Board. In the case of Arthur Baglis Buford, et al v. The Morganton City Board of Education, Judge Braxton Craven ultimately rejected the teachers' argument of discrimination and sided with the School Board. Desegregation resulted in many Black teachers leaving Burke County due to this loss of employment.",desegregation; Mountain View Elementary; photograph; primary source,"Morganton, North Carolina",35.7368,-81.6918,false,Dixon Byrd; History Museum of Burke County,class-photo,image;stillimage,image/jpg,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/class-photo.jpg,/objects/small/class-photo_sm.png,/objects/thumbs/class-photo_th.jpg,,
ervin-thesis,,"Thesis titled ""'A Powder Keg that Could Very Easily Explode': Race, Paternalism, and Protest in Morganton, North Carolina""",,,Michael Ervin; North Carolina Room at Burke County Public Library,2012,,"Michael Ervin's Bachelor's thesis discusses two desegregation efforts at the Collett Street Recreation Center and in the Morganton City School system. Ervin argues that white moderates in Morganton used a variety of tactics to subdue African American protest and to promote the town as progressive in order to attract business, at the expense of Black residents.",desegregation; Collett Street Recreation Center; Morganton City Schools; transportation; Mildred Largent; W.F. McIntosh; Artie McKesson Logan; NAACP; Recreation Foundation; secondary source,"Morganton, North Carolina",35.7368,-81.6918,false,Michael Ervin; North Carolina Room at Burke County Public Library,ervin-thesis,text,application/pdf,eng,"In Copyright - Educational Use Permitted. For more information, please contact Morganton Public Library North Carolina Room (828) 764-9266.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/ervin-thesis.pdf,/objects/small/ervin-thesis_sm.png,/objects/thumbs/ervin-thesis_th.jpg,,
